model_name,alpha,n_forecasts,violations,expected_violations,failure_rate,avg_var,kupiec_p,christoffersen_p,duration_p,lopez_loss,pinball_loss,crossing_rate
Model A: MLP-QR,0.01,3617,260,36.17,0.07188277578103401,-0.01841675441321794,0.0,0.0,0.0,0.07197886957729166,0.0017120849957554221,0.0682886369919823
Model A: MLP-QR,0.05,3617,420,180.85000000000002,0.11611833010782416,-0.012030537583434453,0.0,0.0,2.2382096176443156e-13,0.11623397292063509,0.0025772532629220507,0.0682886369919823
Model A: MLP-QR,0.1,3617,549,361.70000000000005,0.15178324578379873,-0.009073992028321586,0.0,0.0,6.331762191558177e-06,0.15200710253694977,0.003700378868840992,0.0682886369919823
Model B: MLP-QR + RV,0.01,3617,243,36.17,0.06718274813381256,-0.018654514847357802,0.0,0.0,0.0,0.0675271905529977,0.002368214099532479,0.11805363560962123
Model B: MLP-QR + RV,0.05,3617,438,180.85000000000002,0.12109482996958805,-0.010706997521899853,0.0,0.0,1.2895462475626118e-11,0.12164841176952254,0.0035608755806673794,0.11805363560962123
Model B: MLP-QR + RV,0.1,3617,584,361.70000000000005,0.16145977329278408,-0.0066968064991701146,0.0,2.3203661214665772e-14,0.004340583993681202,0.16291659985210633,0.005472175528401918,0.11805363560962123
