alpha,base_avg_var,c2_avg_var,avg_correction,median_correction,q25_correction,q75_correction,c2_var_q05,c2_var_q50,c2_var_q95,share_below_minus_10pct,failure_rate
0.01,-0.026969961890470982,-0.02963439910778433,-0.0026222704094834154,-0.0018143630586563999,-0.003580545540898975,-0.00078417826443905,-0.06470612697303287,-0.0242230203002691,-0.01399069526232778,0.01628787878787879,0.00946969696969697
0.05,-0.016366393004798026,-0.018702668273137046,-0.0022759568480647304,-0.0014572292566299,-0.002870396478101525,-0.000639035366475575,-0.04063060116022824,-0.015030888374894798,-0.008425911981612393,0.003409090909090909,0.04962121212121212
0.1,-0.011911862018468713,-0.014140022489432705,-0.0023306456988916795,-0.00122132664546365,-0.002491959836333925,-0.000569298863410925,-0.03082346944138399,-0.011080417782068249,-0.0061519451206549745,0.0007575757575757576,0.08901515151515152
