model_name,base_model,alpha,n_forecasts,violations,expected_violations,failure_rate,avg_var,kupiec_p,christoffersen_p,duration_p,lopez_loss,pinball_loss,crossing_rate
Model C1: GARCH-anchored MLP-QR,"GARCH(1,1)-t",0.01,2640,104,26.400000000000002,0.03939393939393939,-0.022608436938466956,0.0,0.17208735277097043,0.0006112155101590799,0.03941161285660685,0.000603427642486399,0.03787878787878788
Model C1: GARCH-anchored MLP-QR,"GARCH(1,1)-t",0.05,2640,287,132.0,0.10871212121212122,-0.014400955950347424,0.0,0.2462944054512004,0.6106245436208143,0.10874350736195615,0.0016210542652834751,0.03787878787878788
Model C1: GARCH-anchored MLP-QR,"GARCH(1,1)-t",0.1,2640,394,264.0,0.14924242424242423,-0.011580827919974444,2.3314683517128287e-15,0.839250338319464,0.044645957444567896,0.1492901097709043,0.0024180794620382545,0.03787878787878788
Model C2: Conservative GARCH-anchored MLP-QR,"GARCH(1,1)-t",0.01,2640,25,26.400000000000002,0.00946969696969697,-0.02963439910778437,0.7823192744704789,0.021741825418807204,0.7589701223856581,0.009470221151195562,0.0003495592741150233,0.005303030303030303
Model C2: Conservative GARCH-anchored MLP-QR,"GARCH(1,1)-t",0.05,2640,131,132.0,0.04962121212121212,-0.01870266827313709,0.9287583693442721,0.5195657943652481,0.736211656130938,0.049625288810731166,0.001266483870158124,0.005303030303030303
Model C2: Conservative GARCH-anchored MLP-QR,"GARCH(1,1)-t",0.1,2640,235,264.0,0.08901515151515152,-0.014140022489432753,0.05567886650769094,0.4736895175882547,0.3231376150476014,0.08902423196879007,0.0020690910662022268,0.005303030303030303
