date,log_ret,rv5,bv
2008-10-15,-0.0968836243220669,0.0017195861262214,0.0011926299745336
2008-12-01,-0.0931935693123762,0.0013580976460097,0.0006210681679667
2008-09-29,-0.075101960820521,0.0019951553801914,0.001366472230888
2008-10-09,-0.0702825870569086,0.0017570304571719,0.0019088971148848
2008-11-20,-0.0688371540006249,0.0025221087564937,0.0026997817576079
2011-08-08,-0.0682611280503362,0.0010550634505628,0.0008235652690191
2008-10-07,-0.0626020370647841,0.0009077614039338,0.0009664058899904
2008-11-19,-0.0617388832383785,0.0011720659850308,0.0011334555160628
2000-04-14,-0.06069447847364,0.0010764802044287,0.0010819547819395
2008-10-22,-0.0587820752314991,0.0014365861821341,0.0013404995858878
