date,mu,omega,alpha_1,beta_1,gamma_x,persistence,nu,sigma_next,realized_col,converged
2004-01-08,-0.00041517531121101805,0.009698441195200521,2.078979696615355e-11,0.7457415985595649,0.3413022201026976,0.7457415985803547,20.72510723407021,0.006282246777679197,rv5,True
2004-01-09,-0.0003762635498814565,0.00845035894585098,5.753361891245957e-11,0.7466541543871901,0.34126128369381076,0.7466541544447237,21.34709071092576,0.006393660228193379,rv5,True
2004-01-14,-0.0004024906595669384,0.009604954829211929,0.0,0.7460705983453725,0.34117469998230326,0.7460705983453725,22.001105513897446,0.007431542194439014,rv5,True
2004-01-15,-0.00038468650256689286,0.01015209735560904,3.461202499887838e-15,0.7451061691697848,0.3417932009523981,0.7451061691697882,22.498898995527657,0.0070441952944121445,rv5,True
2004-01-16,-0.0003938031872378711,0.00867612803773741,3.858888101762969e-12,0.7470803369347714,0.34038080446855445,0.7470803369386303,21.80373244056457,0.007398010555422318,rv5,True
2004-01-20,-0.0003844280577512259,0.008481319526797291,3.951726022465051e-12,0.7474091850494908,0.34019102452162125,0.7474091850534426,21.803735809832716,0.0073362405725451675,rv5,True
2004-01-21,-0.00037292262646973875,0.00688236732893506,2.5649379190424522e-11,0.7505491962395745,0.3371027537585435,0.7505491962652239,21.495593178072795,0.006964843717043172,rv5,True
2004-01-22,-0.0003497379199311016,0.007130214561742186,1.008180952567953e-14,0.7505504820044229,0.3369062110372156,0.750550482004433,21.8886773345266,0.007027228117996767,rv5,True
2004-01-23,-0.0003641084071160846,0.00588997765729303,9.89428820247935e-12,0.7521785353261051,0.33568389010558736,0.7521785353359994,21.639724440845235,0.0069779362853865864,rv5,True
2004-01-26,-0.00037626226688736495,0.004660833216778088,1.3009076945305123e-14,0.7533302999943363,0.3351673031132294,0.7533302999943493,21.482601339784257,0.007023945956667815,rv5,True
2004-01-27,-0.0003436880733261629,0.007387364402340867,7.179143734035543e-11,0.750942659395774,0.33624345525685995,0.7509426594675654,22.094255969270222,0.006949492060524667,rv5,True
2004-01-28,-0.00036852240196388934,0.008683091908512627,1.107728896504124e-17,0.7497914470963131,0.3364454579903984,0.7497914470963131,22.996252496785733,0.0068587622728861165,rv5,True
2004-01-29,-0.0004011911438325229,0.012562037351800188,5.9595046350273456e-12,0.74713246454499,0.33675331267176156,0.7471324645509495,23.599714241269666,0.008310789036354205,rv5,True
2004-01-30,-0.0003868995195319808,0.012212694087783875,2.081299657199994e-11,0.7456511854537283,0.3387578380223661,0.7456511854745413,23.908760902864532,0.008943827322327515,rv5,True
2004-02-02,-0.00037128387868129225,0.011289520046516167,1.8862355342427342e-15,0.747271648685754,0.33738370384206384,0.7472716486857559,23.172954562045675,0.008856012248342437,rv5,True
2004-02-03,-0.0003692138509680059,0.010637277532286639,2.7538095513906184e-11,0.748530686168373,0.33607009943864746,0.7485306861959111,23.173371558733212,0.009348882947474772,rv5,True
2004-02-04,-0.00036344071970921267,0.00997995149034578,0.0,0.7509594110762655,0.33273490383912513,0.7509594110762655,23.232697428879582,0.00882181098325123,rv5,True
2004-02-05,-0.0003756128818129833,0.00998157586583791,0.0,0.7523753311790949,0.3303414287372894,0.7523753311790949,23.802086774992137,0.008876477956815673,rv5,True
2004-02-06,-0.00034857473565836543,0.009207550994964698,2.9332554238920365e-11,0.7543146268246489,0.32824472941346783,0.7543146268539814,23.15420242638899,0.00865770361353154,rv5,True
2004-02-09,-0.0003417433580439851,0.009862194481574523,9.60996247812735e-16,0.752640379698229,0.33062161311128574,0.7526403796982299,22.972577515141456,0.008509319153637281,rv5,True
2004-02-10,-0.00035417757478687197,0.009238245013182503,0.0,0.7533985608991262,0.3300135074048012,0.7533985608991262,22.71097225740884,0.007820853940086338,rv5,True
2004-02-11,-0.00034275245261941817,0.008763342369719292,2.2365479190207745e-13,0.7539328173836904,0.32950988519989527,0.7539328173839142,22.966994038944915,0.007402441283590376,rv5,True
2004-02-12,-0.00032702478815813124,0.009676468916016851,9.159140528251908e-12,0.7549029439395448,0.32757477404196755,0.7549029439487039,23.35204491645498,0.007570688383181034,rv5,True
2004-02-13,-0.0003366218290042464,0.009119354015982326,0.0,0.7550419727621044,0.32751447053342947,0.7550419727621044,23.58710888038521,0.007150485843541313,rv5,True
2004-02-17,-0.00034848309120752386,0.008777451791225332,2.7593800729849496e-11,0.7538237171977625,0.3291887907800486,0.7538237172253563,23.83265691457098,0.007421425327445429,rv5,True
2004-02-18,-0.00033415898248489924,0.009559146821839353,0.0,0.752899893456949,0.3296929741715423,0.752899893456949,24.07918024931798,0.007547807982623163,rv5,True
2004-02-19,-0.000328541076999186,0.008947465154758631,0.0,0.7530267704825298,0.3299409762094797,0.7530267704825298,23.44210415578418,0.007021593399401258,rv5,True
2004-02-20,-0.00034035229775251425,0.008385511868505745,5.0341978878810954e-11,0.7525758889478475,0.33077215860002473,0.7525758889981895,23.657720655963967,0.007512899044507597,rv5,True
2004-02-23,-0.00032693110257524146,0.007368666318809838,1.1212284881276854e-11,0.7537029230122422,0.3301360957430389,0.7537029230234544,22.842117701897727,0.007697586119802917,rv5,True
2004-02-24,-0.0003384912363398296,0.006637284193698715,0.0,0.7549768865572435,0.32882781593632454,0.7549768865572435,22.842224667773877,0.007438160726118245,rv5,True
