date,mu,omega,alpha_1,beta_1,gamma_x,persistence,nu,sigma_next,realized_col,converged
2004-01-08,-0.0004046475448576876,0.011284486773668964,9.107650864636676e-11,0.722294368811808,0.42963929939476314,0.7222943689028845,21.989652036407282,0.006083045808391325,bv,True
2004-01-09,-0.00036501933810886123,0.009962923390852035,1.9302639291685438e-11,0.7237668283224962,0.42876843377070667,0.7237668283417988,22.694667334421155,0.00634705449653587,bv,True
2004-01-14,-0.00039060579064316225,0.011192723245802517,3.0667415774239916e-15,0.7224235876867177,0.42995658862646896,0.7224235876867208,23.414691976515098,0.007242320848547198,bv,True
2004-01-15,-0.00037219910665876155,0.011816665119814917,2.8655560095771305e-16,0.7218399341214794,0.4299275616942555,0.7218399341214797,24.076431028351244,0.0067656851387815345,bv,True
2004-01-16,-0.000380338539386387,0.010199467335015281,2.1938334815417712e-11,0.7239438683318754,0.42827219479802847,0.7239438683538137,23.249542389861407,0.007393137808290822,bv,True
2004-01-20,-0.00037155403449146764,0.009952206828766241,0.0,0.7240246716051132,0.4286275485547153,0.7240246716051132,23.24997641156389,0.007129139244700672,bv,True
2004-01-21,-0.00035953553289670465,0.008223115996632236,2.515041736357518e-10,0.7275860299663606,0.42454144967125873,0.7275860302178647,22.91702142170106,0.006835848949230342,bv,True
2004-01-22,-0.00033626119395408285,0.008473603130959198,0.0,0.7276673764455438,0.4242345688275074,0.7276673764455438,23.37511531263639,0.006848241341984018,bv,True
2004-01-23,-0.00034954340423766446,0.007079735905242629,1.723801588809028e-10,0.7305118666512113,0.4208770043848743,0.7305118668235914,23.170561013684587,0.006930483946863238,bv,True
2004-01-26,-0.0003601771159475926,0.005774360380327894,1.1640366906668575e-10,0.7326229694724062,0.4186885406323833,0.7326229695888099,23.08112910933365,0.007074538499595504,bv,True
2004-01-27,-0.0003287531019539332,0.00836207551079792,8.302282860937671e-11,0.7298155486071284,0.4208195813012534,0.7298155486901512,23.755577877721663,0.0070333034067948585,bv,True
2004-01-28,-0.00035221727253167273,0.009590351874054945,6.50250376983742e-12,0.7284219812313407,0.421506895162557,0.7284219812378432,24.750358414000807,0.0070882151657010875,bv,True
2004-01-29,-0.00038336414767000624,0.013076209763308788,2.503629682374498e-10,0.7245332305059473,0.4242927148016291,0.7245332307563103,25.57048240497843,0.007948405716644028,bv,True
2004-01-30,-0.0003686563646605207,0.01276539689483697,6.216456677846576e-11,0.7222807244285652,0.4278094493587203,0.7222807244907298,25.904814478189593,0.009095549848219558,bv,True
2004-02-02,-0.00035272095097527487,0.011795948519150347,0.0,0.7241593142171311,0.4258961801840532,0.7241593142171311,25.037039716306897,0.009078038473761813,bv,True
2004-02-03,-0.00035110798971235273,0.011178394857971808,0.0,0.7255511931229954,0.4241265053694656,0.7255511931229954,25.037691110113716,0.009478427765481886,bv,True
2004-02-04,-0.00034514828475945856,0.01054591977474629,1.5778904129440425e-15,0.7284475905354021,0.41943349584119377,0.7284475905354036,25.04812707514978,0.00892891619789657,bv,True
2004-02-05,-0.00035655898105332596,0.010600931558790905,1.2632572679750361e-10,0.730128824005491,0.41607373013866916,0.7301288241318167,25.779476145508234,0.008672204730824513,bv,True
2004-02-06,-0.00032875934394728995,0.009666569458546943,9.241260297239056e-16,0.7323617927952276,0.41338213102882565,0.7323617927952285,25.0274652336169,0.008557329959416776,bv,True
2004-02-09,-0.00032149518817651613,0.01026687780737431,7.531435107445613e-12,0.7304297242093762,0.4167296485104387,0.7304297242169077,25.027053005451982,0.008350192620910704,bv,True
2004-02-10,-0.0003335694041023135,0.009664834588865684,1.543876400266366e-10,0.7307737746327866,0.41672969381628333,0.7307737747871742,24.6276971633495,0.007614928178692935,bv,True
2004-02-11,-0.00032151838647753224,0.009211833288405642,6.105200542871911e-12,0.7309252804802624,0.41682975724675997,0.7309252804863676,24.852444071064333,0.007226681701703378,bv,True
2004-02-12,-0.0003053059407704995,0.010210836188351531,0.0,0.7323823400204189,0.41380782351606127,0.7323823400204189,25.31932996409597,0.007657779997618335,bv,True
2004-02-13,-0.0003141951104683547,0.009648890300074736,6.247708741243776e-12,0.7328189435404616,0.413224398483965,0.7328189435467093,25.620665710877333,0.007029528360700065,bv,True
2004-02-17,-0.000326440306005487,0.009370458314217697,5.643472364193819e-11,0.7312397604156806,0.41567207744172324,0.7312397604721154,25.891385919456184,0.007310526530048112,bv,True
2004-02-18,-0.0003113963116031358,0.010234692574140395,0.0,0.7297870583734976,0.4170279260697278,0.7297870583734976,26.165820009919187,0.007034664191872086,bv,True
2004-02-19,-0.00030734008114096707,0.009561345441595539,5.4315674939301755e-11,0.7294181605390745,0.4182670159945729,0.7294181605933902,25.445996525019844,0.006705205638764351,bv,True
2004-02-20,-0.0003199385168381987,0.008942806344854507,0.0,0.7291244107660246,0.41903584455065185,0.7291244107660246,25.700799037749004,0.006853225346403611,bv,True
2004-02-23,-0.00030707616731554183,0.007715294241192127,1.566562836307708e-11,0.7293258373092235,0.42015619751935585,0.7293258373248891,24.716715828286357,0.007102035260393196,bv,True
2004-02-24,-0.00031935484502541097,0.006864900901887328,0.0,0.7303977448187319,0.4191669326245122,0.7303977448187319,24.717018543034268,0.0068185226842260695,bv,True
2004-02-25,-0.00032699869461267397,0.005664887818525715,6.239381001820368e-12,0.7307994451557058,0.4197351313428844,0.7307994451619452,24.471965908942604,0.0070962583970316274,bv,True
2004-02-26,-0.00030718194939997494,0.004924984363895726,0.0,0.731734887008189,0.4187959129692543,0.731734887008189,24.470066337852266,0.00667945021685458,bv,True
2004-02-27,-0.00030293441486595413,0.0037359359904901384,0.0,0.7335004384377047,0.41678784474840463,0.7335004384377047,24.469597056170304,0.006291024208328345,bv,True
2004-03-01,-0.0002812853721892896,0.0021072574164119604,3.7475339439030634e-11,0.7324918571946469,0.4206674121263379,0.7324918572321223,23.590427922248086,0.00641840817638377,bv,True
2004-03-02,-0.000258205053979266,0.0034102545799051206,0.0,0.7304180124686819,0.42308214309440634,0.7304180124686819,24.40945121240174,0.00631310890590463,bv,True
2004-03-03,-0.0002799248324779238,0.003070699901036171,6.699249522233855e-11,0.7308388922088624,0.4228140173346449,0.730838892275855,24.60028051622109,0.006523761812168753,bv,True
2004-03-04,-0.0002691617633687317,0.0017376874901166267,8.742105458438767e-16,0.7304496170758595,0.4251257026807137,0.7304496170758604,24.729911288020457,0.006417006388328058,bv,True
2004-03-05,-0.00024439633088461633,0.0007169430597848645,1.7788883700895117e-13,0.7295732460214294,0.42797473418055026,0.7295732460216072,24.411902011067767,0.005866729090321027,bv,True
2004-03-08,-0.00023900674230512505,1.0000000000040999e-08,0.0,0.7276879726348047,0.4318936511891473,0.7276879726348047,24.41102388267836,0.007459695712476985,bv,True
2004-03-09,-0.0002678328686606843,0.00010744617632936631,0.0,0.7266620707920124,0.4336034138967682,0.7266620707920124,24.409721631296666,0.0071685615948843566,bv,True
2004-03-10,-0.00028624053140973436,1.0000956810924818e-08,1.4324252032695244e-10,0.7274312519756054,0.4320848594309598,0.727431252118848,24.410162356282182,0.007802626639566423,bv,True
2004-03-11,-0.0003186514043209407,0.0023054646977504014,0.0,0.7209811738295503,0.4402438238496644,0.7209811738295503,25.249755297056677,0.007830676400236823,bv,True
2004-03-12,-0.00036080931026929796,0.0049636080501863425,7.631786942439852e-12,0.7142442812423144,0.44886266909261924,0.7142442812499462,25.076081146801666,0.009378380144309962,bv,True
2004-03-15,-0.00033496746480650186,0.005686661322047721,1.777582337120787e-11,0.7095327098954053,0.4558229632797264,0.7095327099131811,25.249327620684983,0.00956456071444662,bv,True
2004-03-16,-0.0003339509625966925,0.006433522274445763,1.4631157384003828e-12,0.7024419204620717,0.4676591855509986,0.7024419204635348,25.014768785876203,0.009827507554621839,bv,True
2004-03-17,-0.00033263806857376137,0.006268361383135747,5.205298672677217e-11,0.7035906101921734,0.4655736724655401,0.7035906102442264,24.824372117534796,0.00961110847219061,bv,True
2004-03-18,-0.00033016741810762065,0.006451437473071502,1.023850242471048e-14,0.7030130951101036,0.4666624991990611,0.7030130951101138,24.622665401353718,0.008836188456800922,bv,True
2004-03-19,-0.000329533192511729,0.006149118433143953,4.484979591832583e-11,0.7030988024134577,0.4662561211707243,0.7030988024583075,24.623148431577395,0.009323840873771704,bv,True
2004-03-22,-0.00033363813059255324,0.006642425318241817,1.3087102365394098e-10,0.7020633018490424,0.467712638536698,0.7020633019799134,23.878413593415196,0.008857754371417554,bv,True
2004-03-23,-0.0003457061636063088,0.00759341089191306,4.091297170642519e-11,0.7019566840115314,0.46636132111174095,0.7019566840524444,24.270288769168403,0.009468073227479133,bv,True
2004-03-24,-0.00035223087822424266,0.007253335499497985,4.3106858671142765e-12,0.7136321517213374,0.44597557310196306,0.7136321517256481,22.358509485314176,0.00949509645146517,bv,True
2004-03-25,-0.0003773747584302596,0.006712113482753803,5.009020437843223e-16,0.7200588682796212,0.4346606342920295,0.7200588682796217,27.983205721596505,0.010074979914549935,bv,True
2004-03-26,-0.0003623138657864658,0.007343415451657521,3.703218992344515e-11,0.7159387411913465,0.44104360131108755,0.7159387412283786,28.790523681623437,0.009251833684979933,bv,True
2004-03-29,-0.00037552220509758517,0.006907256332392816,6.004252272754754e-11,0.7157838153688726,0.4418040010650782,0.7157838154289151,27.750972009549525,0.008723492337754983,bv,True
2004-03-30,-0.0003617471181040038,0.007275221228321313,7.611451226557314e-11,0.7159280531948771,0.44163971517354966,0.7159280532709916,28.401304223243816,0.00823725693293501,bv,True
2004-03-31,-0.000363764253762888,0.006838267681373952,3.843956528303781e-12,0.7145533556518073,0.44463872781862857,0.7145533556556513,27.805806474976944,0.0076921775210891455,bv,True
2004-04-01,-0.00036551996059661605,0.006201249525342504,0.0,0.7122681824027747,0.4491863646535239,0.7122681824027747,27.53960064595868,0.00748716240066681,bv,True
2004-04-02,-0.00034889652282982096,0.0058401967363941616,3.097108975645522e-11,0.7126964653160524,0.4489750744756933,0.7126964653470235,27.90339249159358,0.007467435430244007,bv,True
2004-04-05,-0.00032981124103757256,0.005923315066367548,1.3601652443957008e-10,0.7137466954595967,0.4473146336293846,0.7137466955956132,28.609085268673944,0.007978693030867167,bv,True
2004-04-06,-0.0003092514930442716,0.005735654865555107,2.816084265511662e-19,0.7137740207421184,0.4477019505675099,0.7137740207421184,28.728693245153227,0.007189628255303318,bv,True
2004-04-07,-0.00030233148587006004,0.004835942209900988,1.6228103622350817e-10,0.7110604776921841,0.4534017078549615,0.7110604778544651,28.307012304156824,0.006630426346847959,bv,True
2004-04-08,-0.0003242908817965406,0.00458892937014452,6.78948518978463e-11,0.7080393323617599,0.459060096061371,0.7080393324296547,28.305391829244748,0.006624280366660782,bv,True
2004-04-12,-0.00032866479845603723,0.00355003408621945,0.0,0.7061453182163069,0.46340722161248493,0.7061453182163069,28.302434236506638,0.006859178986358322,bv,True
2004-04-13,-0.00031252774371904967,0.004386661383501042,2.1709924177930466e-11,0.6803259520963518,0.5073926893688845,0.6803259521180618,25.868151424352998,0.006305738106881054,bv,True
2004-04-14,-0.0003506999877321631,0.011179952691939474,7.661074621014814e-11,0.6603441720844909,0.5346684161533396,0.6603441721611016,25.34532643348176,0.00685139513220504,bv,True
2004-04-15,-0.0003579902181110059,0.010299060602189367,2.7747015210447482e-11,0.6570274714090295,0.5413483554093004,0.6570274714367765,24.81765737751092,0.007445872486398635,bv,True
2004-04-16,-0.0003597533605139053,0.008649801481794317,0.0,0.6637337087703131,0.5315075227666245,0.6637337087703131,24.81749700355792,0.008231855420966773,bv,True
2004-04-19,-0.000345689434594295,0.008115729447901366,7.131520844530751e-12,0.6658706721365228,0.527955979018575,0.6658706721436544,24.98558763673847,0.00785091085531,bv,True
2004-04-20,-0.0003416539026338849,0.008006040964950192,5.699798958921623e-15,0.6665268076794886,0.5260963275375656,0.6665268076794942,23.567890639895825,0.007326653797795001,bv,True
2004-04-21,-0.0003744198335598874,0.01220890201137732,8.07452525257493e-16,0.6607817699902299,0.5295147852544378,0.6607817699902306,25.07264785475704,0.007578454720492905,bv,True
2004-04-22,-0.0003386967853412676,0.010031651453134961,1.623255911899221e-11,0.6869298616861506,0.4879481948479142,0.6869298617023831,20.170704429980418,0.008143261827770911,bv,True
2004-04-23,-0.0002926702993690099,0.010164030515702577,1.6427630433596933e-11,0.696635455267721,0.47024951615307725,0.6966354552841486,33.831734617954375,0.008885679594413248,bv,True
2004-04-26,-0.0002999307798468386,0.008661000036126888,6.987274951353469e-11,0.7022058583039549,0.4630991081964735,0.7022058583738277,33.41756843804299,0.008383895684127406,bv,True
2004-04-27,-0.00032538062157893037,0.008248528843178324,6.22969069192344e-11,0.7012371184153872,0.4652897229180312,0.7012371184776841,33.41602677150964,0.008011620138184888,bv,True
2004-04-28,-0.00031139836090830693,0.007656194985297754,0.0,0.6994390776222171,0.4691066741468943,0.6994390776222171,32.2444469286713,0.008312896658030151,bv,True
