date,mu,omega,alpha_1,beta_1,persistence,nu,sigma_next,converged
2004-01-08,6.85629483131565e-05,0.030973071543848475,0.08253847283774947,0.9019847140227112,0.9845231868604607,10.546434709936587,0.007896420290722229,True
2004-01-09,0.0001085193755330079,0.03008575775311553,0.0831965026901891,0.9023623752773761,0.9855588779675651,10.473643509280627,0.007754056083307419,True
2004-01-14,8.253037591791344e-05,0.030537306171606698,0.08323485479916835,0.9019239703283872,0.9851588251275556,10.647158223792959,0.00795746745488326,True
2004-01-15,0.00010062133209831457,0.03067177412151175,0.08345517476573693,0.901513170288675,0.9849683450544119,10.80972202801573,0.00805731167480108,True
2004-01-16,8.995286118268964e-05,0.030249772361566556,0.08416227045355468,0.9013838708727012,0.9855461413262558,10.59903132474357,0.007846937974635483,True
2004-01-20,9.808488439696409e-05,0.029931370247949132,0.08408929242296634,0.9016073479066898,0.9856966403296562,10.599683651150325,0.007854084656582893,True
2004-01-21,0.00011558538536947239,0.028683956213899266,0.08401459431923104,0.9024208090310178,0.9864354033502489,10.491505185580026,0.007601473308699238,True
2004-01-22,0.00013982498739716868,0.02841449040123223,0.08385167126426947,0.9025966288533773,0.9864483001176468,10.638620257302545,0.0076713382208977825,True
2004-01-23,0.00012664908739315822,0.027473116823952117,0.083738564626866,0.903244317285171,0.986982881912037,10.562737040469095,0.007495785717067894,True
2004-01-26,0.00011732204847415477,0.026395781448937082,0.08363583286481165,0.9039137340483745,0.9875495669131862,10.548320122477449,0.00730834074227803,True
2004-01-27,0.00014310308601845516,0.028396625204428927,0.08352218231963462,0.9027271331860338,0.9862493155056684,10.758110904133146,0.008024720720067253,True
2004-01-28,0.0001193641332808009,0.029205433640121653,0.08375352221110668,0.901900403598246,0.9856539258093526,10.961749480565699,0.008325442974552677,True
2004-01-29,9.085069068598265e-05,0.031349236989749354,0.08459047937028066,0.899890798372759,0.9844812777430396,10.961789497859613,0.009077334369594263,True
2004-01-30,0.00010661702175710946,0.03065858301617846,0.08436112339492434,0.9003031068908809,0.9846642302858052,11.195471776770809,0.008850543486039544,True
2004-02-02,0.00011768848418067525,0.029934109253731116,0.08435715825904333,0.9009559143372353,0.9853130725962786,10.997671000550449,0.008592759837619342,True
2004-02-03,0.00012205977151819608,0.029114383768537658,0.08403236139409713,0.9016074812155536,0.9856398426096507,11.021133100090237,0.008360236726852377,True
2004-02-04,0.00012847844369906432,0.028194516812424072,0.0838323313433197,0.9021956987618884,0.9860280301052081,11.038098958065097,0.008083094603114793,True
2004-02-05,0.00011141154983667483,0.028641074361360656,0.08401720128088862,0.9016470184274977,0.9856642197083864,11.156633167040754,0.008240661524639366,True
2004-02-06,0.00013443693352241013,0.027876292210998143,0.0842501404291432,0.9020726315592658,0.9863227719884089,11.008785560415824,0.008003461332920342,True
2004-02-09,0.0001440974025490915,0.02965426496707496,0.08521042230584241,0.9003647138820745,0.9855751361879169,10.989944028676799,0.00859282782361194,True
2004-02-10,0.00013018134196365416,0.028777974076774376,0.08470059546220246,0.9012902305061489,0.9859908259683513,10.920390490158443,0.008349858012147122,True
2004-02-11,0.0001433632018111598,0.027978377388772752,0.08424854013465491,0.9020289633275234,0.9862775034621782,11.000811527949406,0.008199598828818148,True
2004-02-12,0.0001561443695613522,0.028581113776270733,0.08428893914330095,0.9015909900590657,0.9858799292023667,11.102002946314878,0.008530941914886703,True
2004-02-13,0.00014953530229708798,0.027954654953383434,0.08390735663737828,0.9021588843219366,0.9860662409593148,11.165652479931016,0.008362431460793494,True
2004-02-17,0.00014049543577844044,0.027533949981265154,0.08369843109761418,0.9024573530311042,0.9861557841287184,11.227334210460825,0.008239536502153715,True
2004-02-18,0.00015348689297527086,0.02788248273019255,0.0837801981233269,0.9021198650365946,0.9859000631599215,11.297513319212358,0.008424173334270597,True
2004-02-19,0.00015556271251412885,0.02739403815138612,0.08366652840811535,0.9025678040130044,0.9862343324211198,11.15666134396453,0.008257243091161536,True
2004-02-20,0.00014704219611694458,0.026884708953228472,0.08348740600848183,0.9028922298706816,0.9863796358791634,11.21364532401763,0.008088902282400825,True
2004-02-23,0.00015630531485108366,0.026380462949226732,0.08399651385188657,0.9029135823609028,0.9869100962127894,11.018849058486282,0.007864826481479802,True
2004-02-24,0.0001437676742605136,0.0256857025975694,0.08370495129363183,0.9034768213241067,0.9871817726177385,11.038925992389071,0.007692607843347826,True
2004-02-25,0.0001363371123227184,0.024812478855521854,0.08354161978158164,0.904065260958034,0.9876068807396157,11.002027255320016,0.007454304367522101,True
2004-02-26,0.00015343742559339543,0.02416181629750431,0.08352722862195418,0.9043987168439551,0.9879259454659093,11.00179252961555,0.00730458875285076,True
2004-02-27,0.0001576379731436453,0.023303474361671937,0.08359899992601666,0.9047280646086274,0.988327064534644,11.026127371447577,0.007074439904891083,True
