date,mu,omega,alpha_1,gamma_1,beta_1,persistence,nu,sigma_next,converged
2004-01-08,-0.00040767040558412586,0.026511042970405067,3.423023880672996e-11,0.153713751719983,0.9114269485810796,0.9882838244753014,14.6753901893955,0.0060872451103755765,True
2004-01-09,-0.00037226605780871675,0.02514048639203203,2.519072203214296e-10,0.15434097270731695,0.9123987255910174,0.9895692121965831,14.638609878268975,0.005957171709896142,True
2004-01-14,-0.0004144949033249345,0.026611130246925373,0.0,0.15542350148878536,0.9112758342008769,0.9889875849452696,15.040230719796925,0.006741976133518156,True
2004-01-15,-0.000393846599980788,0.02723602144614774,0.0,0.1558466930074836,0.9104570379548854,0.9883803844586272,15.376999785753693,0.006669923069748008,True
2004-01-16,-0.000397355227319478,0.02626185309746874,0.0,0.15540104335058516,0.9113202059536328,0.9890207276289255,15.027002539669954,0.006521113475861836,True
2004-01-20,-0.00038362097662364696,0.026371709548365124,1.425863813555348e-10,0.1550390781471129,0.9112489390848172,0.98876847830096,15.08877264210872,0.006441129439309226,True
2004-01-21,-0.00036499401038378774,0.02515785398046947,0.0,0.1547075792449952,0.9120377467102404,0.989391536332738,14.854657217538287,0.006285039437622546,True
2004-01-22,-0.0003382774040565421,0.02555824916073197,0.0,0.1542131686609604,0.9116990998675969,0.9888056841980771,15.155598199208347,0.006235055966011546,True
2004-01-23,-0.00035003640622085217,0.024716597065834317,1.8433914899205418e-10,0.15416928759070095,0.9123051281684962,0.9893897721481858,15.047727974515988,0.0061886339370212885,True
2004-01-26,-0.0003581858587906714,0.02380492555283256,1.333525909930328e-10,0.15399693601192407,0.912960958534762,0.9899594266740765,15.047011567128006,0.006115857237564666,True
2004-01-27,-0.00033156422688025033,0.026780425187698405,0.0,0.1540401714446976,0.9108481037521617,0.9878681894745105,15.259623265068516,0.006243752445333665,True
2004-01-28,-0.00036958900365309245,0.028481005796444414,0.0,0.1549324984821063,0.9096456543066171,0.9871119035476703,15.664428788413652,0.007246368084781407,True
2004-01-29,-0.0004015365469136719,0.030828235250558375,2.4690414873003863e-10,0.15736586015912202,0.9074628260652737,0.9861457563917388,15.982759818857545,0.008903991173608258,True
2004-01-30,-0.0003879612433655029,0.030375815442391863,2.0624772449570976e-10,0.15645091745557366,0.9079025068027742,0.9861279657368087,16.057686692386266,0.008639748683301232,True
2004-02-02,-0.0003808151373290454,0.029675552420354627,0.0,0.15712107357381366,0.9083237518681943,0.986884288655101,15.762178723958955,0.008435849012157626,True
2004-02-03,-0.00037490098179216477,0.02907834860330723,1.3326400416696964e-10,0.1560636805107278,0.9089762183696323,0.9870080587582601,15.763405226976497,0.008193722412298566,True
2004-02-04,-0.00036721151236680604,0.02836267816601604,6.32424658432498e-11,0.1549547946653815,0.9097006520087201,0.9871780494046533,15.763682940965474,0.007962264810784249,True
2004-02-05,-0.0003828881709878696,0.028627788360623706,0.0,0.15535918477338778,0.9094121182348901,0.987091710621584,16.01207190675025,0.008389857066895393,True
2004-02-06,-0.0003592264925882298,0.02799467831305045,0.0,0.1552351476382536,0.9099144169746909,0.9875319907938177,15.775420689757462,0.00816373372314565,True
2004-02-09,-0.0003498049640562013,0.028914787997846705,3.4330717568388207e-10,0.15623820323735724,0.9089346596389476,0.9870537616009334,15.718861873515257,0.008007603260855025,True
2004-02-10,-0.0003619220239777938,0.028328716997706945,0.0,0.15560705127814708,0.9095837300194438,0.9873872556585174,15.581291115892517,0.007854592574541458,True
2004-02-11,-0.0003478848253346027,0.027862852328811215,1.4666568959061702e-10,0.15479964673802804,0.9099890710702685,0.9873888945859481,15.72528379580733,0.007657854483589244,True
2004-02-12,-0.0003314033077629262,0.02841264904365028,0.0,0.15470646766337073,0.9095308306886583,0.9868840645203436,15.90864334713211,0.007520213828055163,True
2004-02-13,-0.0003398083009386862,0.028029188038137552,0.0,0.15435090592068287,0.9098753132867804,0.9870507662471218,16.02156310703315,0.007531808264013813,True
2004-02-17,-0.0003503745316111085,0.027757632884491446,2.2479712983499194e-10,0.15414483367451426,0.9101070008488226,0.9871794179108768,16.15757734565553,0.007593157769505032,True
2004-02-18,-0.00033361091723670995,0.02809208532991868,2.0263137344837133e-10,0.15393365698364808,0.9098092673571158,0.9867760960515711,16.296522796195134,0.007450896581981841,True
2004-02-19,-0.0003341993035232183,0.027761961241852134,6.124803038632214e-11,0.15444512698270296,0.9099206983023057,0.9871432618549052,16.012245400936553,0.007446789764318077,True
2004-02-20,-0.0003443494814034956,0.02737992467972466,0.0,0.15415544849575344,0.9102395730998373,0.987317297347714,16.14964287139508,0.007422319768416792,True
2004-02-23,-0.00033704277443572054,0.027188860554256244,7.328933181766448e-11,0.15609704079053208,0.9097845963503485,0.9878331168189038,15.61864556123591,0.007290932874417094,True
2004-02-24,-0.00034998054279764614,0.02667625330904993,0.0,0.15562663586122705,0.9102823562200454,0.9880956741506589,15.704227791178578,0.0072272430173258495,True
2004-02-25,-0.00035683066956213104,0.026023106129436605,1.0034404466174034e-10,0.15508215329944508,0.9108574134563736,0.9883984902064402,15.704149790658208,0.007055145568465185,True
2004-02-26,-0.000339222261133158,0.02550907480103368,0.0,0.15441017068428392,0.9112530177754716,0.9884581031176136,15.705608716069715,0.0069025553694334,True
2004-02-27,-0.0003348674036766149,0.024848417998590982,1.2978549849028378e-10,0.1539467521422141,0.9116777389235525,0.988651115124445,15.861414474304372,0.006741852170816003,True
2004-03-01,-0.00031358319123778254,0.024894763243656696,0.0,0.15716382449281993,0.9105874644989622,0.9891693767453722,15.146801694838022,0.006617283783697591,True
2004-03-02,-0.0002917990086166626,0.025218394929910456,2.2885276056288623e-10,0.15575229111605898,0.9106467582431162,0.9885229040299984,15.557302305798506,0.006538041867237466,True
2004-03-03,-0.00031378717544099327,0.025010973886657833,0.0,0.15555052827676033,0.9109003173996035,0.9886755815379837,15.780396653627369,0.0067291960210701185,True
2004-03-04,-0.00030639768668394053,0.02426387402307464,7.961500710870701e-11,0.1548049587946719,0.9114779734791912,0.9888804529561421,15.903872487169743,0.006572733074679893,True
2004-03-05,-0.000286818469468272,0.023701982189799062,0.0,0.15411065771675286,0.911934503263646,0.9889898321220224,15.81062828746076,0.006439048268826174,True
2004-03-08,-0.0002834835100015221,0.023134950311265376,1.9113077553485445e-11,0.15403212709514752,0.912167434424709,0.9891834979913958,15.931029261966465,0.0062985958221659765,True
2004-03-09,-0.0003219481675669653,0.02407412200705564,1.145141410547235e-10,0.15471878900681285,0.9114922291788707,0.9888516237967914,16.246934920360342,0.007093802080683015,True
2004-03-10,-0.0003413094346726446,0.02400195289337282,0.0,0.1548663781380565,0.9114763233165022,0.9889095123855305,16.592605581986763,0.0072278252555207775,True
2004-03-11,-0.0003762195601604159,0.026041065149578418,0.0,0.15748972175842496,0.9093163989499876,0.9880612598292001,17.17648639572268,0.009175112483034627,True
2004-03-12,-0.00040597878580146506,0.02735822206886269,2.1092109402100295e-10,0.16098701683598987,0.9073139654758298,0.9878074741047458,17.427560896048103,0.010841653958415926,True
2004-03-15,-0.0003877112068566666,0.027547560953188815,1.549062210630969e-10,0.1615048210029268,0.906787263377575,0.9875396740339446,17.737406427806896,0.010477099804650137,True
2004-03-16,-0.0003874008969594716,0.02779261419915562,0.0,0.16162512261280632,0.9068676048758328,0.987680166182236,16.892556118768663,0.011584683266336781,True
