date,realized_log_ret,VaR_1,VaR_5,VaR_10
2002-06-28,-0.0002828254278917,-0.033732763129228585,-0.0223508099285127,-0.017078875847127695
2002-07-01,-0.0227238385724231,-0.032114228700015006,-0.02125188890731811,-0.016231234888889712
2002-07-02,-0.0206429707781126,-0.035038940016734965,-0.02319918683530425,-0.01772516671368712
2002-07-03,0.0063520321267001,-0.03658755363754943,-0.024273942438769056,-0.01855759399702083
2002-07-05,0.0361658206818669,-0.03506832664087027,-0.02328228951308978,-0.017809734819974006
2002-07-08,-0.0123710820325113,-0.04398498962973632,-0.029034935711103195,-0.02212405618191502
2002-07-09,-0.0254629707630762,-0.04230922545707446,-0.02794046846273955,-0.021303476638481283
2002-07-10,-0.0341365795587105,-0.04441690003878747,-0.029396339642572406,-0.02243213593250417
2002-07-11,0.0079004739941552,-0.049831543570979894,-0.03299827464232914,-0.025172635036787495
2002-07-12,-0.0076071503637473,-0.04690021500266454,-0.031052024305157938,-0.02369622364623009
2002-07-15,-0.0036672928737475,-0.04428215428628213,-0.029307319853426432,-0.022376047593051757
2002-07-16,-0.0177194347898472,-0.041468183506887336,-0.02746027667576879,-0.020977974530886363
2002-07-17,0.0048708223914921,-0.041214919618558,-0.02734278266156388,-0.02090799759451857
2002-07-18,-0.027848469418684,-0.039011293652552015,-0.02586963575720361,-0.019790408355727512
2002-07-19,-0.0409085800757091,-0.04265731863246372,-0.028329282253617437,-0.02167648643576797
2002-07-22,-0.0310433961411895,-0.05174479142795405,-0.03427671120830984,-0.026182872310769836
2002-07-23,-0.0281147488090152,-0.05441360536134563,-0.036112478067476216,-0.02759886958514677
2002-07-24,0.0576665614646279,-0.05558636180420945,-0.0369010427856651,-0.028197681011074317
2002-07-25,-0.006644384761385,-0.07287143690381487,-0.048168863789769,-0.03669674876589031
2002-07-26,0.0165934253684794,-0.0671339023429653,-0.04433597666811112,-0.03378176167005223
2002-07-29,0.0525282361836891,-0.0637765275277871,-0.042093371843548354,-0.03206660723353438
2002-07-30,0.0048406351806153,-0.07551615223011723,-0.04977838696407643,-0.03787172972794253
2002-07-31,0.0084261177255529,-0.06971552245081895,-0.045934475922811524,-0.03495375925232589
2002-08-01,-0.0304978172151235,-0.06483571387507735,-0.04264023880006348,-0.03242749162322926
2002-08-02,-0.022349857502089,-0.0653585013441018,-0.043074744111934855,-0.03278193154769124
2002-08-05,-0.0348738306197491,-0.06343036525952254,-0.04188111063483262,-0.03188090705133727
2002-08-06,0.0308247019140877,-0.06592544229843833,-0.04356187302579669,-0.03317344075251453
2002-08-07,0.0193313371666619,-0.06689466277065707,-0.044266675876145814,-0.033728180017876815
2002-08-08,0.0321694528108995,-0.06423938889395711,-0.04255999017278576,-0.032446658461505865
