date,realized_log_ret,VaR_1,VaR_5,VaR_10
2002-01-09,-0.0046135186843923,-0.022637235658859972,-0.01529645061341624,-0.011840281523737402
2002-01-10,0.0014710338827139,-0.022429518558272573,-0.01513710184106804,-0.011710386934011541
2002-01-11,-0.0094958729588396,-0.0216662600205994,-0.014644658757279829,-0.011340390008686894
2002-01-14,-0.0062697777169846,-0.023313818503091433,-0.01578341204497661,-0.012225859295650142
2002-01-15,0.0068893645334977,-0.023439495143546547,-0.015860305711893584,-0.012290346323336658
2002-01-16,-0.0163594916614622,-0.02271757713356208,-0.015376352965984117,-0.011919462298288788
2002-01-17,0.004371108140992,-0.028535869456442254,-0.019248903190287655,-0.014870165466339902
2002-01-18,-0.0044597897121327,-0.027229340495170805,-0.018389907077141845,-0.014216886708097405
2002-01-22,-0.0073345174187782,-0.026415796649862943,-0.017845201010979084,-0.013806093518915248
2002-01-23,0.007893080065461,-0.026394942557361953,-0.01784699187087045,-0.013817193483595608
2002-01-24,0.0033360058192801,-0.025377105662925694,-0.017181901741076498,-0.013308916899662642
2002-01-25,0.0008212319823632,-0.024418088110416108,-0.01655305848568779,-0.012830807724909115
2002-01-28,0.000132393632942,-0.02354592814886836,-0.01596727013596203,-0.012381085291336281
2002-01-29,-0.0285396052793966,-0.022741720680601967,-0.015432695192286232,-0.011973038780115727
2002-01-30,0.0110450461087516,-0.038958115702391244,-0.026047828977820334,-0.020006184316130306
2002-01-31,0.014055471337822,-0.036827579213096595,-0.024657578108123773,-0.018954669521431985
2002-02-01,-0.0053545155037166,-0.03494797747607065,-0.023443372209686678,-0.018037040400640778
2002-02-04,-0.0264796046096158,-0.03352047599688557,-0.02250074914379127,-0.01732159999704184
2002-02-05,-0.0038931406319164,-0.04360882446620724,-0.02920238590485986,-0.022419360665249105
2002-02-06,-0.0055590468233468,-0.04119027696081279,-0.027538482718103472,-0.021141048837206335
2002-02-07,-0.003272538581073,-0.039240563660940836,-0.02622735494999613,-0.02014257901926734
2002-02-08,0.014989505138315,-0.03719699370674676,-0.024881579575104597,-0.019122902515359915
2002-02-11,0.0141657487496393,-0.035348829689114784,-0.023670603411547027,-0.018205505636508062
2002-02-12,-0.0041185143266915,-0.03357415477854779,-0.022525952245538914,-0.01734115533895048
2002-02-13,0.0096074650299105,-0.032155440067212486,-0.021588828888927915,-0.016630162399093703
2002-02-14,-0.001665025897152,-0.030686200546043853,-0.02061039251870493,-0.015883704338338682
2002-02-15,-0.0106915320362768,-0.02939000623237638,-0.01970884645647208,-0.015183170781699484
2002-02-19,-0.0193104908764638,-0.030216869817580098,-0.02029029558091714,-0.015638483040953596
2002-02-20,0.01368936102432,-0.03583987453090749,-0.024002487367142434,-0.01845698627049575
2002-02-21,-0.0153247750237381,-0.03399168124637451,-0.02280602261868282,-0.01755407511878314
2002-02-22,0.0073246226391168,-0.036259576955712795,-0.02434630285513779,-0.01874090688686119
2002-02-25,0.0185443968978242,-0.03436152846284987,-0.023081884629932613,-0.01777433144249793
2002-02-26,-0.0004506534551254,-0.0326351367571869,-0.021977395269037553,-0.016942148040396718
2002-02-27,0.000468675369774,-0.031154524224512686,-0.020933474836925852,-0.0161233418127599
2002-02-28,-0.0025443010585588,-0.029676495021122684,-0.01995789089710539,-0.015384168394911555
2002-03-01,0.0219268626384092,-0.028418226452829667,-0.01912561891736677,-0.014754694940843022
2002-03-04,0.0193087958029742,-0.027315339622532294,-0.01840429742363995,-0.014203366535044736
2002-03-05,-0.0060605455640496,-0.02634184233969568,-0.01775218910932609,-0.01369780094106527
2002-03-06,0.0139440867373448,-0.026015892960973164,-0.017550967704565778,-0.013553995651847499
2002-03-07,-0.0045256552152075,-0.025097801020803723,-0.01695338876376678,-0.013099912962221127
2002-03-08,0.0058149465415304,-0.024531564949880087,-0.016595416799677246,-0.012836432377478037
2002-03-11,0.0032930310180061,-0.0236245329289617,-0.016010247182324678,-0.01239400144810092
2002-03-12,-0.0023400244680091,-0.0228530252683175,-0.015483034197741797,-0.011988648852784263
2002-03-13,-0.009770477638991,-0.022192429665560346,-0.015038526465154259,-0.011648329723726085
2002-03-14,-0.0007021772115596,-0.02406875962079826,-0.016240322661347943,-0.012549579685011558
2002-03-15,0.0110217235923073,-0.023205604327546103,-0.015690387260334865,-0.012140937697851371
2002-03-18,-0.0005748137375745,-0.022536552370084784,-0.015255039025877593,-0.011809149047678325
2002-03-19,0.0038030675912468,-0.021771871126957075,-0.014778015885671314,-0.011455994178116699
2002-03-20,-0.0154647808406354,-0.021109835459989134,-0.014348898691621918,-0.01112958538568486
2002-03-21,0.0017523166286883,-0.026804066880879197,-0.01819923463389755,-0.014085347045638418
2002-03-22,-0.0046564644683897,-0.02573389671796953,-0.017491547635285543,-0.013549627559437701
2002-03-25,-0.0141804055507419,-0.0250974413432913,-0.017069018980022613,-0.013232126134316695
2002-03-26,0.0054170120528693,-0.028563872784470964,-0.019455341055810836,-0.01507845850546396
2002-03-27,0.0056673752918525,-0.027294502607963515,-0.018572552259911435,-0.014396481224546462
