date,realized_log_ret,VaR_1,VaR_5,VaR_10
2001-01-02,-0.0287405707879297,-0.03685114579415136,-0.023460680225584056,-0.017625750686241223
2001-01-03,0.0499780772944982,-0.04116717851340086,-0.02619674354881591,-0.019664601218130632
2001-01-04,-0.0108998799963471,-0.05525335955994512,-0.03485118038104113,-0.026049693717999402
2001-01-05,-0.0260510951648713,-0.052811783657908284,-0.03340565764973155,-0.025000864148489836
2001-01-08,-0.0073722939080562,-0.055113813390337565,-0.03488439512443322,-0.026127869244530488
2001-01-09,0.0086418813088489,-0.05253127662951746,-0.03314351931921006,-0.024810454914760458
2001-01-10,0.0095965472881083,-0.05046905260461636,-0.03172054369172005,-0.023705381607961238
2001-01-11,0.0103348346030474,-0.04843368823521279,-0.030507846601661455,-0.022813531920868615
2001-01-12,-0.0060485274827426,-0.04705816088030905,-0.02956762080918393,-0.02209744090526197
2001-01-16,0.0053397193817028,-0.045228219915515,-0.02837779491302681,-0.021209808078902884
2001-01-17,0.002192661117867,-0.043245629676014884,-0.027177112263345533,-0.020320047997535035
2001-01-18,0.0146890062287736,-0.04119538049060972,-0.025952032465052906,-0.019422166893850786
2001-01-19,-0.0042366016007449,-0.04068406830408094,-0.025717559880731402,-0.019258833228113822
2001-01-22,0.0003127839284351,-0.03877689989458896,-0.02455906237071954,-0.018405732501595468
2001-01-23,0.0123803247013407,-0.03705794669495786,-0.02330064836324418,-0.017406235649509032
2001-01-24,0.0030767786413052,-0.036551166601431144,-0.023059460703124465,-0.017243897948190288
2001-01-25,-0.004497196836267,-0.03453614935343285,-0.021816167588865957,-0.01631735709886902
2001-01-26,-0.0021012050949247,-0.03242079045578052,-0.02051616593086979,-0.015354992009582659
2001-01-29,0.0072433977390913,-0.029799601355592186,-0.018751016811049476,-0.013991444704673261
2001-01-30,0.0065800521501007,-0.02801576370893963,-0.017558756907128503,-0.013080076761580179
2001-01-31,-0.0059281497072838,-0.027258698731003412,-0.01706556921645608,-0.012706972660559947
2001-02-01,0.0043983734118642,-0.02646719457701646,-0.016634645702924153,-0.012409711318745966
2001-02-02,-0.0168874375669094,-0.025451615459441253,-0.015981165740923897,-0.011917209818669646
2001-02-05,0.0039736180713267,-0.02931501113209777,-0.018517566016376504,-0.013858915127136974
