date,realized_log_ret,VaR_1,VaR_5,VaR_10
2004-01-08,0.0041828828900474,-0.015168960860621961,-0.010339568624416928,-0.007999567991217376
2004-01-09,-0.0082406582861729,-0.014819640391743154,-0.010091652016892484,-0.007801345285054326
2004-01-14,0.0077364499047476,-0.01674702720240813,-0.011417738101538127,-0.008829417531477006
2004-01-15,0.0016267066321402,-0.016537497543127243,-0.011282146759064929,-0.008724426733513084
2004-01-16,0.0064453864059306,-0.01619540794144875,-0.011040034485161356,-0.008536390200824149
2004-01-20,-0.0002194455059782,-0.01598531455076135,-0.010896245789244537,-0.00842384019795421
2004-01-21,0.0071641000772615,-0.015598296339576524,-0.010621051625625842,-0.008206576852675956
2004-01-22,-0.0028892041623,-0.015438131251025625,-0.010515067118053183,-0.008122313159355615
2004-01-23,-0.0025732605313777,-0.015341786857573704,-0.010450253761039396,-0.00807442946721705
2004-01-26,0.0122553435515442,-0.015173665846521644,-0.0103396220066323,-0.007991730928682834
2004-01-27,-0.0095597118157062,-0.015448334722129435,-0.010523314827794672,-0.008128073245872319
2004-01-28,-0.0135159785576437,-0.017895692571035005,-0.012201233497006296,-0.009425083924061176
2004-01-29,0.0044550984593838,-0.021920082381776073,-0.014942705487155847,-0.011534940793599704
2004-01-30,-0.0024372379451529,-0.021264185904316592,-0.014498258873451105,-0.011192391980367707
2004-02-02,0.0034333812782145,-0.020778878248311775,-0.014155498828166933,-0.010924661213663749
2004-02-03,0.0008190910309497,-0.020187437158050592,-0.013754233071353685,-0.010616139558043835
2004-02-04,-0.0083189050824152,-0.019620066826478502,-0.013368604426935129,-0.01031915898841646
2004-02-05,0.0021548770171442,-0.02065749386393298,-0.01408467473319114,-0.010873972948449228
2004-02-06,0.0121327801504262,-0.020098667922921164,-0.013689695844256156,-0.010563207291674405
2004-02-09,-0.0028394918513052,-0.019714425217451224,-0.013424843672792196,-0.010357594823234915
2004-02-10,0.0050598889381729,-0.019363026561182273,-0.013185939431263147,-0.010175962395052756
2004-02-11,0.0105016795689998,-0.018866421493017045,-0.012851897043536412,-0.009918677030231103
2004-02-12,-0.0045641022706073,-0.018508964213924128,-0.012612136362268817,-0.009733309933009707
2004-02-13,-0.0051083789983072,-0.018540475496390693,-0.012640357023799162,-0.009758105273135496
2004-02-17,0.0091625439628657,-0.018693412516698794,-0.01275216472143157,-0.009847647917040946
2004-02-18,-0.0042451504502416,-0.018327189519192766,-0.012504075840731836,-0.00965517156355615
2004-02-19,-0.0041150352340695,-0.018329817419757078,-0.012495829026062045,-0.009646029779565744
2004-02-20,-0.0020071040745275,-0.018275021205311683,-0.012467053365515872,-0.009627816527667176
2004-02-23,-0.0035265379816324,-0.01797294321971404,-0.012241085867697152,-0.009447449448693376
2004-02-24,-0.0009822925039308,-0.017828103713517077,-0.012150710801081528,-0.009382242801152449
2004-02-25,0.0037747957082938,-0.01741876240758045,-0.011876557525195173,-0.009174012504189352
2004-02-26,0.0008475872670299,-0.017032074673279905,-0.011609808903095773,-0.008965727487373558
2004-02-27,0.000305654167791,-0.01663286405797144,-0.01134417820219761,-0.0087629347734342
2004-03-01,0.0089966576212692,-0.016339478013724304,-0.011114171552747496,-0.008574657830769801
2004-03-02,-0.0054143769091625,-0.016108980080458687,-0.0109661397358323,-0.008460485108729153
2004-03-03,0.0013910989314807,-0.016584400109826654,-0.01130185179753346,-0.008724793075985835
2004-03-04,0.0032788052204315,-0.016193928639216894,-0.01103983363984394,-0.00852367638047396
2004-03-05,0.0021539893881303,-0.015854728788443476,-0.010801310130659037,-0.008335605091577337
2004-03-08,-0.0088444305405008,-0.01550737786025381,-0.010569425257538081,-0.008158417480351687
2004-03-09,-0.0055250208297499,-0.017455117582200433,-0.011908780083281905,-0.009196009555336546
2004-03-10,-0.0148369363943583,-0.017784520413822728,-0.012149455756546279,-0.009388252187752466
2004-03-11,-0.0156295914431314,-0.022491221595435422,-0.015370453116547668,-0.01187106684799452
2004-03-12,0.0125195847927308,-0.026524504987413114,-0.018126004779541224,-0.013993774984019068
2004-03-15,-0.0143558834041357,-0.025612544665791027,-0.0175145053193385,-0.013524430879218952
2004-03-16,0.0058049157079773,-0.028326940229888464,-0.019316551582029672,-0.014894699078096764
2004-03-17,0.0115630986930499,-0.02727580925104318,-0.018604884646769165,-0.014349623925955285
2004-03-18,-0.0013712659643951,-0.02628803229816693,-0.017965871514926887,-0.013868299673074196
2004-03-19,-0.0109392539352803,-0.02531463052376645,-0.017330810980950816,-0.013389253662895619
2004-03-22,-0.0134312983931845,-0.02651511667918792,-0.018176794695430556,-0.01404895043489365
2004-03-23,-0.0006941400249491,-0.028578086273304614,-0.01959977130404264,-0.015148452459408868
2004-03-24,-0.0027539027189646,-0.02747905572839375,-0.018862364479732153,-0.01458666898511871
2004-03-25,0.0158879213428626,-0.026601861258543157,-0.018233198263494767,-0.014095894783326443
2004-03-26,-0.0001262512401352,-0.02563159710007621,-0.017603579461911486,-0.013619307742916451
2004-03-29,0.0119945499980342,-0.024765171625025985,-0.0169953986212288,-0.013148401477320881
2004-03-30,0.0041794184760712,-0.02388480579535173,-0.016422014849671613,-0.012713895657163379
2004-03-31,-0.000923303717081,-0.023100335280519434,-0.01588725004398463,-0.01230320951748588
2004-04-01,0.0057213866105181,-0.022337072448512213,-0.01538452472541616,-0.011922167754595099
2004-04-02,0.0080657302556268,-0.02160678789953485,-0.014903582361944303,-0.011555850223710029
2004-04-05,0.007636123065728,-0.02092086870311507,-0.014454887451381711,-0.011214563037780139
2004-04-06,-0.0021409557184872,-0.02028686241913865,-0.014031996986767952,-0.010889954343769716
2004-04-07,-0.005845644876457,-0.019783256180643645,-0.013685478562292623,-0.01062235008215092
2004-04-08,-0.0017191177092845,-0.019934828137756017,-0.013808945922919773,-0.01072496510120605
2004-04-12,0.0054803292284084,-0.019395582676013056,-0.013454188997811796,-0.010456504727316504
2004-04-13,-0.0140231324064732,-0.018844960975772693,-0.01308468800587987,-0.010172344098050073
2004-04-14,-0.0013998903638174,-0.022570756052483675,-0.015684592711614775,-0.012190933770752324
2004-04-15,0.000850799891797,-0.02188378442773136,-0.0152117339981065,-0.011826704109403684
2004-04-16,0.0046665042657352,-0.02120004850832821,-0.014747451173785222,-0.011470534958253563
2004-04-19,0.0013129432518166,-0.020553595647189157,-0.014304289477470946,-0.011127812711262487
2004-04-20,-0.015083242211328,-0.019951951737820297,-0.013887330197759219,-0.010804727243131059
2004-04-21,0.0053317292114609,-0.024079356007776654,-0.016764692974431436,-0.013037760376421001
2004-04-22,0.0140922018471689,-0.02316151454030109,-0.016103024524152337,-0.012516287820905777
2004-04-23,9.644089276683589e-05,-0.022128972504538012,-0.0154856628999461,-0.012063224898911673
2004-04-26,-0.0046132636022582,-0.02149024485295449,-0.015029253433666047,-0.011707248243619456
2004-04-27,0.0029812834555364,-0.02125097216503502,-0.01486899229684226,-0.011587626881178982
2004-04-28,-0.014630696530121,-0.02063314866654104,-0.014427442314749689,-0.011240933971954713
