date,realized_log_ret,VaR_1,VaR_5,VaR_10
2004-01-08,0.0041828828900474,-0.015465465517488465,-0.01069676767942866,-0.008319912763618487
2004-01-09,-0.0082406582861729,-0.015680304510681472,-0.010842212253073217,-0.008425972943843976
2004-01-14,0.0077364499047476,-0.01817569475848862,-0.012569659914055896,-0.009764383441032747
2004-01-15,0.0016267066321402,-0.017221159553969592,-0.01191922117819871,-0.009262347394348384
2004-01-16,0.0064453864059306,-0.018091265111699655,-0.01250540508132937,-0.009711847392650361
2004-01-20,-0.0002194455059782,-0.01793412424512979,-0.01239490366236701,-0.009624670910564069
2004-01-21,0.0071641000772615,-0.01704086549710693,-0.011774357045721193,-0.009142955444439306
2004-01-22,-0.0028892041623,-0.01715838765882291,-0.011854590855167388,-0.009201429801708665
2004-01-23,-0.0025732605313777,-0.017060220259519938,-0.011787453821959367,-0.009151772197712273
2004-01-26,0.0122553435515442,-0.01718593506022416,-0.011874403111305122,-0.009220611065387444
2004-01-27,-0.0095597118157062,-0.016962078427908485,-0.011721920099555336,-0.009099019908760721
2004-01-28,-0.0135159785576437,-0.016752155719828337,-0.011600839132810766,-0.009015941565719315
2004-01-29,0.0044550984593838,-0.020239811302301215,-0.014013399737909384,-0.010884125187352166
2004-01-30,-0.0024372379451529,-0.02172949211545455,-0.0150369915594533,-0.011670872897565038
2004-02-02,0.0034333812782145,-0.02152149108090469,-0.014875043582680268,-0.011538339262785434
2004-02-03,0.0008190910309497,-0.02269649976947018,-0.01568016438777268,-0.012157762049535165
2004-02-04,-0.0083189050824152,-0.021430537932846615,-0.01481139670198982,-0.01148788099120466
2004-02-05,0.0021548770171442,-0.02155991787541377,-0.014915035905644027,-0.011573750420937935
2004-02-06,0.0121327801504262,-0.021025616858651522,-0.014527493808619195,-0.011265413288789317
2004-02-09,-0.0028394918513052,-0.02066864483649852,-0.014277028442409145,-0.011069959077702512
2004-02-10,0.0050598889381729,-0.019042214954407995,-0.013161155021922234,-0.010212349483121278
2004-02-11,0.0105016795689998,-0.01802567932078441,-0.012465342392304672,-0.009675418997326693
2004-02-12,-0.0045641022706073,-0.01840392279982587,-0.012726304178456343,-0.009874649187603534
2004-02-13,-0.0051083789983072,-0.017405727547257555,-0.012048340156583097,-0.009355906343389944
2004-02-17,0.0091625439628657,-0.018059624651308257,-0.01250465472715795,-0.009711204104718249
2004-02-18,-0.0042451504502416,-0.0183421809620564,-0.012698023929024558,-0.009858005292408281
2004-02-19,-0.0041150352340695,-0.01709265214562928,-0.011828757556210523,-0.009184287490538501
2004-02-20,-0.0020071040745275,-0.018273196260708786,-0.012645864964023182,-0.0098172625231937
2004-02-23,-0.0035265379816324,-0.018717575404862175,-0.012932471070187478,-0.010030743885194772
2004-02-24,-0.0009822925039308,-0.018109328600329704,-0.012519197418981089,-0.009715265222046195
2004-02-25,0.0037747957082938,-0.018215064986334246,-0.0125903243227755,-0.009770621168629295
2004-02-26,0.0008475872670299,-0.0169887645142948,-0.011742624088329188,-0.009113370250867127
2004-02-27,0.000305654167791,-0.01598015709744556,-0.011050930505227863,-0.008580310534910623
2004-03-01,0.0089966576212692,-0.016140221779314408,-0.011142823074886845,-0.008642913095344906
2004-03-02,-0.0054143769091625,-0.01625144826233266,-0.011222595805147667,-0.008702262482751535
2004-03-03,0.0013910989314807,-0.016509407550906,-0.011408076862628956,-0.008850395916396029
2004-03-04,0.0032788052204315,-0.01593838902051501,-0.011015193820289116,-0.008546063892160623
2004-03-05,0.0021539893881303,-0.014719957066057924,-0.01016834616538664,-0.007887363404476645
2004-03-08,-0.0088444305405008,-0.019380846940603238,-0.013357387418358183,-0.010339971912970067
2004-03-09,-0.0055250208297499,-0.018346268664584164,-0.01265736163020326,-0.009807535865735965
2004-03-10,-0.0148369363943583,-0.019216139506309113,-0.013262152938373007,-0.010278051340842732
2004-03-11,-0.0156295914431314,-0.019568272173345756,-0.013525393352976648,-0.010491453237753672
2004-03-12,0.0125195847927308,-0.022670380501192296,-0.01566325685727167,-0.012146137062741444
2004-03-15,-0.0143558834041357,-0.023002394620002208,-0.015886319205486322,-0.012312813974911045
2004-03-16,0.0058049157079773,-0.023822321320315216,-0.01644540642085508,-0.012742406739490916
2004-03-17,0.0115630986930499,-0.02443303899711013,-0.016861590128038523,-0.013062021580179451
2004-03-18,-0.0013712659643951,-0.023194995590501276,-0.016007863170754318,-0.012403121474031758
2004-03-19,-0.0109392539352803,-0.02336614946570072,-0.01612607690071133,-0.01249427538505255
2004-03-22,-0.0134312983931845,-0.022161985147159478,-0.015282078189206565,-0.011839267870845301
2004-03-23,-0.0006941400249491,-0.025013624819232944,-0.01724161201079683,-0.013350503289574269
2004-03-24,-0.0027539027189646,-0.024581263956250786,-0.016908716424190073,-0.01308464414371988
2004-03-25,0.0158879213428626,-0.02495874070836582,-0.017278275983169958,-0.013405095567986934
2004-03-26,-0.0001262512401352,-0.024436382108240635,-0.01693017997064902,-0.013138056561764236
