date,realized_log_ret,VaR_1,VaR_5,VaR_10
2004-01-08,0.0041828828900474,-0.014953011386001457,-0.01036398190120112,-0.008067694673065099
2004-01-09,-0.0082406582861729,-0.015531686165315365,-0.010758544897041287,-0.00836536449701327
2004-01-14,0.0077364499047476,-0.017682233420386044,-0.01225226082028081,-0.009524548662248822
2004-01-15,0.0016267066321402,-0.01651423136342075,-0.011454882557410324,-0.008909143868872345
2004-01-16,0.0064453864059306,-0.01803532835951232,-0.012488528472557534,-0.009703320178498573
2004-01-20,-0.0002194455059782,-0.01739610061601064,-0.012047378736708985,-0.009361628086454568
2004-01-21,0.0071641000772615,-0.01668993653089133,-0.011554107754613416,-0.008977528185304081
2004-01-22,-0.0028892041623,-0.01668771499007113,-0.011552377753900316,-0.008972936709360554
2004-01-23,-0.0025732605313777,-0.016901188423107824,-0.011699800450370276,-0.009088573227705404
2004-01-26,0.0122553435515442,-0.017257586292408877,-0.011946103877330637,-0.00928023509466968
2004-01-27,-0.0095597118157062,-0.017115043606386864,-0.011848985809165073,-0.009201329536303156
2004-01-28,-0.0135159785576437,-0.017252074850832022,-0.01196489600106493,-0.009300278990693519
2004-01-29,0.0044550984593838,-0.01931909827642903,-0.013407412521019709,-0.010422620833895113
2004-01-30,-0.0024372379451529,-0.0220305835360059,-0.015273316670006186,-0.011859171119868396
2004-02-02,0.0034333812782145,-0.021990632710596963,-0.01522620850932982,-0.01181487321425672
2004-02-03,0.0008190910309497,-0.022943351228303082,-0.015880596681495936,-0.012318806589562782
2004-02-04,-0.0083189050824152,-0.02162739040030148,-0.014974345870451258,-0.011619096464295821
2004-02-05,0.0021548770171442,-0.021012618565416488,-0.014567164019075034,-0.011311422718520153
2004-02-06,0.0121327801504262,-0.020725729531955662,-0.014349089510593199,-0.011133384997019312
2004-02-09,-0.0028394918513052,-0.020224747637674505,-0.014002450391138675,-0.010864582996720521
2004-02-10,0.0050598889381729,-0.018491459868951246,-0.01280884914035412,-0.009945754688839936
2004-02-11,0.0105016795689998,-0.01754976246852414,-0.012161295565809594,-0.009444997235547243
2004-02-12,-0.0045641022706073,-0.018552999927396976,-0.0128525365716619,-0.009975960591562439
2004-02-13,-0.0051083789983072,-0.017060075027257926,-0.011832704799228485,-0.009193137512991235
2004-02-17,0.0091625439628657,-0.01773737575365297,-0.012305995909602616,-0.00956183919035586
2004-02-18,-0.0042451504502416,-0.017061183268943007,-0.011839479428699824,-0.009199756628289662
2004-02-19,-0.0041150352340695,-0.01628322825600278,-0.011294052099463742,-0.008775710455036093
2004-02-20,-0.0020071040745275,-0.016644611545440932,-0.011549729480040367,-0.008976621887682066
2004-02-23,-0.0035265379816324,-0.01724045316821681,-0.011942315720615795,-0.009272382521407416
2004-02-24,-0.0009822925039308,-0.01657674811224974,-0.011490117434057132,-0.008926768761642079
