volatility_regime,n,mean_return,sd_return,p01_return,p05_return,mean_rv5,mean_bv
Low,1547,0.0011956368996890558,0.004378400985409892,-0.009561280039806198,-0.006206402712828749,1.7738734620028226e-05,1.529451973952795e-05
Medium,1546,0.0005498290519873279,0.008445172588697944,-0.01815402748227167,-0.01329052444814935,5.1649616518765936e-05,4.257132146208821e-05
High,1547,-0.0013451740927333047,0.018414078541487553,-0.050257985062469104,-0.02923044111676387,0.00025936574011349605,0.0002066129040278957
