variable,n,mean,sd,min,p01,p05,p10,median,p90,p95,p99,max,skewness,excess_kurtosis
log_ret,4640,0.00013334087860624046,0.012012774240588404,-0.0968836243220669,-0.034545417117368055,-0.018807436059652346,-0.012885438755617918,0.0005253676829348,0.012016948435641635,0.017043312613429663,0.03419885713848571,0.1064202668204883,-0.20785235291280807,8.218904229046291
rv5,4640,0.00010959718309283929,0.00024828398866675135,1.218059268025056e-06,4.678306683063429e-06,8.590414934829459e-06,1.3146915548560064e-05,4.952004314340885e-05,0.00022274433847344023,0.00035948667262798,0.001086018173222578,0.0077477397402088,11.717149592523002,245.051637105572
bv,4640,8.816940679926568e-05,0.00020668949243819826,1.056040013155994e-06,4.152695896405919e-06,7.5017686851615975e-06,1.0799951490924471e-05,3.934667738118184e-05,0.00017913258989473007,0.0002859537544449151,0.0008780553049430805,0.0060181487480733,11.457002633292353,214.8319559697212
