,log_ret,rv5,bv
2000-01-04,-0.0387114358815035,0.0002241311515142,0.0001733170635375
2000-01-05,0.0021919890537906994,0.0003142822148695,0.0003027451895545
2000-01-06,0.0006915851477895529,0.0001308097278411,0.0001284441954266
2000-01-07,0.026570711140089465,9.362177104368208e-05,7.870592611798558e-05
2000-01-10,0.011043429646789171,0.0001202127284099,0.0001357494180465
2000-01-11,-0.012786988127786003,6.80992035840115e-05,6.805401748686292e-05
2000-01-12,-0.004417633093645179,0.000123002349008,0.0001132528464819
2000-01-13,0.012408811966956534,0.000101327682707,5.4869894391284585e-05
2000-01-14,0.009602885310326492,0.0001393004308907,9.212970354924264e-05
2000-01-18,-0.005789134680576957,9.273167237390965e-05,8.132688537462499e-05
2000-01-19,0.0002061062416265358,4.913393635533539e-05,3.668980953770868e-05
2000-01-20,-0.007412114591828889,0.0001296600290546,0.00010486282264
2000-01-21,-0.0029802976017476723,5.032588895450988e-05,5.276421258541265e-05
2000-01-24,-0.028207765502041404,0.0001895343329395,0.0001776340936002
2000-01-25,0.006348549844738649,0.0001756937247282,0.0001600503050476
2000-01-26,-0.003653322612807486,6.993212585909183e-05,6.627611586960638e-05
2000-01-27,-0.003945481910888837,0.0001876545551182,0.0001508083794529
2000-01-28,-0.026674429830285007,0.0002781081691165,0.0002632848600196
2000-01-31,0.02273485063878411,0.0001891490677984,0.0001922939011714
2000-02-01,0.011119710901880353,0.0001166866832195,0.0001043775395274
2000-02-02,0.00023419453156314773,9.421928374875531e-05,9.438344011046724e-05
2000-02-03,0.010552604586340664,0.0001480944937516,0.0001485987104751
2000-02-04,0.00016148113338676495,6.754763347841153e-05,5.502830886595668e-05
2000-02-07,-0.00011233194100412902,6.023773566258893e-05,6.087942268661106e-05
2000-02-08,0.011608516598481167,9.10283830050293e-05,6.424919917231608e-05
2000-02-09,-0.019927973481895123,9.31136424374928e-05,9.917037716808131e-05
2000-02-10,0.00248192600313768,0.0001168827370916,0.0001146031985912
2000-02-11,-0.025397849982840448,0.000102716137567,0.0001060747603149
2000-02-14,0.006678267106996039,9.384214096642244e-05,9.282916635487454e-05
2000-02-15,0.009225369118523119,0.0001312027795208,0.0001346720933511
2000-02-16,-0.010672750583329282,8.871881393373084e-05,7.664869489039206e-05
2000-02-17,-0.0003027027050137576,0.0001829373395641,0.0001476218959911
2000-02-18,-0.028559582751286783,0.0001510083467147,0.000160077370405
2000-02-22,0.002770166944429775,0.0001938551137949,0.0002079754956218
2000-02-23,0.0074428133885122705,0.0001214628728356,0.0001045586048871
2000-02-24,-0.006215728669194398,0.0002911040212292,0.0002789149283625
2000-02-25,-0.014428031388252549,0.0002319482876893,0.0002156687240076
2000-02-28,0.010319516553611408,0.0002257550830598,0.0002213850115156
2000-02-29,0.014310209991371892,0.0001358959773317,0.0001143427683972
2000-03-01,0.007844777082418375,0.0001024473622056,0.0001064379272157
2000-03-02,0.002644727848620576,9.88488041195575e-05,0.0001046989019575
2000-03-03,0.019079733629207674,9.148079437437722e-05,9.020361444588612e-05
2000-03-06,-0.012933370704785396,6.837669163588859e-05,7.581199376771009e-05
2000-03-07,-0.024999754579059896,0.0002715135248307,0.00029538503916
2000-03-08,0.011284641477929291,0.000132878629083,0.0001464624270079
2000-03-09,0.020531342128618846,0.0001096243990236,0.0001033150794372
2000-03-10,-0.003190890790230938,0.0001192460426776,0.0001160206390754
2000-03-13,-0.00995986153276629,0.0004919763074588,0.000331288787681
2000-03-14,-0.01444884295773452,0.0001498810041798,0.0001105859741151
2000-03-15,0.01788081566259425,0.0002310894576846,0.0002035646316314
2000-03-16,0.04920842033579298,0.0002630982441396,0.0002108443006771
2000-03-20,-6.866504845604027e-06,8.786993285204132e-05,8.806969394729728e-05
2000-03-21,0.02514235279178223,0.0001553957796447,0.0001511317384039
2000-03-22,0.0044029829635459095,7.875757019993018e-05,7.119727491406358e-05
2000-03-23,0.01739438636891144,0.0001456016905259,0.0001220855223749
2000-03-24,0.0017346852951201086,0.0001419207192632,0.0001201078215109
2000-03-27,-0.0037021183648384692,7.958624708161685e-05,7.991855640492864e-05
2000-03-28,-0.0008077677483182555,7.049475381344994e-05,7.128658300199477e-05
2000-03-29,-0.008690169930391178,0.0001604331759212,0.0001396837489982
2000-03-30,-0.013128152846432428,0.0002303236789729,0.0002461066991135
2000-03-31,0.009310226552505796,0.0002350328061159,0.0002361781003834
2000-04-03,0.0011701662173244642,0.0002008402395611,0.0001763924489418
2000-04-04,-0.006727162935838749,0.0012553604864043,0.0014449940193461
2000-04-05,-0.004404776608878613,0.0004940350122843,0.0005486625993495
2000-04-06,0.007957344267987665,0.0001930190382514,0.0001815700066825
2000-04-07,0.010595791896754747,8.717796328339715e-05,6.999405129674198e-05
2000-04-10,-0.007215229554095259,0.0001110111548822,0.0001175774116653
2000-04-11,-0.0037072453463817823,0.0002226861546045,0.0002229515895785
2000-04-12,-0.0016483758558223371,0.0001230970684978,8.679881817393548e-05
2000-04-13,-0.0386131006177699,0.000379548914551,0.0004238469061753
2000-04-14,-0.06069447847364007,0.0010764802044287,0.0010819547819395
2000-04-17,0.03155481781421354,0.000593767413776,0.0006893337680162
2000-04-18,0.029465883041869034,0.0002656232223419,0.0001931992850938
2000-04-19,-0.008999618083454841,0.0001659792690142,0.0001691016562882
2000-04-20,0.003927685411562187,8.821041784689861e-05,6.451816609984366e-05
2000-04-24,-0.003493624202117296,0.0005272805163016,0.0002874100775125
2000-04-25,0.03351930767474354,0.0001316256371623,0.0001034371622209
2000-04-26,-0.011087516211652826,0.0001089856636541,0.0001089929446791
2000-04-27,0.0019828524007285964,0.0002774384052301,0.000256536787161
2000-04-28,-0.007872490512884411,0.0001299124923278,0.0001224218744427
2000-05-01,0.01073044407762147,0.0001192171102058,0.0001154626825099
2000-05-02,-0.015243161846048459,9.91372292465712e-05,8.398339166714381e-05
2000-05-03,-0.021339939810776087,0.0002299095140667,0.0002067297565687
2000-05-04,-0.0038010882747538943,0.0001087473468961,9.599658868819196e-05
2000-05-05,0.015600303713023678,0.0001255326590982,9.729742282163842e-05
2000-05-08,-0.006113999611067733,0.0001283479553708,9.58827173289028e-05
2000-05-09,-0.00721948439886777,0.000128416400215,0.0001285178436587
2000-05-10,-0.022048880855891184,0.0002494123397305,0.0002723757258585
2000-05-11,0.0180004215024967,0.000155551457032,0.0001123715159299
2000-05-12,0.009277921331857897,8.305148418709262e-05,6.946243789860496e-05
2000-05-15,0.021482542313752795,7.957292439498875e-05,7.915138749618529e-05
2000-05-16,0.009496421956753487,0.0002259343809298,0.0002124602300254
2000-05-17,-0.011737949064245079,0.0001852314255432,6.878901406383288e-05
2000-05-18,-0.007332030989259941,7.236881082353071e-05,5.445319123220995e-05
2000-05-19,-0.022025587304096206,0.0001916041223755,0.0001403713532685
2000-05-22,-0.004568219322123923,0.0003182190041566,0.0003438439498943
2000-05-23,-0.018768283095782934,0.0001726363496383,0.000200555958995
2000-05-24,0.01793935044196715,0.0003344093174621,0.0003320603753201
2000-05-25,-0.012184220815620428,0.0001826837270934,0.0001604449997314
2000-05-26,-0.0022893749720660495,0.0001879033182308,0.0001771298686909
2000-05-30,0.030564372730230716,0.0001542898212076,8.267660002145465e-05
2000-05-31,-0.0010276118784027233,0.0001509505387406,0.0001621023002602
2000-06-01,0.019090712135676924,9.778365519302464e-05,9.467170346658636e-05
2000-06-02,0.02011537510378858,0.000132285560264,0.0001055742604121
2000-06-05,-0.006276341755317993,9.419892570239132e-05,9.275106650359184e-05
2000-06-06,-0.006960759460617361,6.622950571251297e-05,5.807412358302372e-05
2000-06-07,0.009764168933885209,7.689562900708382e-05,7.334059816543762e-05
2000-06-08,-0.00713964838934622,6.280922855707873e-05,4.932854977730852e-05
2000-06-09,-0.0024049755506556636,5.6517586332528504e-05,4.271675819666781e-05
2000-06-12,-0.007305107137526079,5.889081042651229e-05,5.282120158820524e-05
2000-06-13,0.015204020772672244,7.746781321101611e-05,6.754278148486038e-05
2000-06-14,0.0008775958520290672,8.141587132864694e-05,8.450777232897612e-05
2000-06-15,0.005154755474278794,8.08575946576349e-05,7.562964831812204e-05
2000-06-16,-0.008151277667153956,5.2140457671763246e-05,4.895790108022174e-05
2000-06-19,0.013683347339063623,5.467257416657317e-05,4.81121032928082e-05
2000-06-20,-0.006770853926506781,9.053023014169176e-05,9.006965280139719e-05
2000-06-21,0.0017325162358012847,7.513579090148018e-05,6.923618257772571e-05
2000-06-22,-0.017867790583841803,9.360726744368008e-05,8.439818158079645e-05
2000-06-23,-0.007489895373855582,7.995721211562358e-05,6.624343888264179e-05
2000-06-26,0.009319281595583817,7.051871147693091e-05,5.384851215431807e-05
2000-06-27,-0.0024491099824901497,4.556493009649375e-05,4.553516894171091e-05
2000-06-28,0.0025727822237264775,6.691843003125714e-05,6.0307830574550696e-05
2000-06-29,-0.008971455225245784,0.0001361158969744,9.435724710210174e-05
2000-06-30,0.006288459669727686,6.453266099925789e-05,6.0792825810782383e-05
2000-07-03,0.0028959507910713,2.0302680842298365e-05,1.8151133125800608e-05
2000-07-05,-0.006214923370180259,6.47087029197006e-05,7.059368407455256e-05
2000-07-06,0.006812329820023777,5.840289216129674e-05,5.873001626299854e-05
2000-07-07,0.01542212371963192,4.403902505947653e-05,4.2798440229703385e-05
2000-07-10,-0.001989309810914719,3.882498544030484e-05,3.562973743709142e-05
2000-07-11,0.0025299343806013397,8.002529712252607e-05,6.838939095492693e-05
2000-07-12,0.00869754950605639,5.6921835158408304e-05,5.997945942634839e-05
2000-07-13,0.001672968570340494,3.425762142083692e-05,3.6873573461446865e-05
2000-07-14,0.008429204396496637,3.645746548618585e-05,3.579826556771745e-05
2000-07-17,0.001424468632575504,2.5898582277625884e-05,2.2901673556507935e-05
2000-07-18,-0.01073665166752047,4.3220258713595045e-05,3.655374034400918e-05
2000-07-19,-0.0074021173966896114,5.172006331684917e-05,5.175024210462896e-05
